,date,Fossil hard coal[MWh],Fossil brown coal[MWh],Fossil gas[MWh],Biomass[MWh],NO2-2019,NO2-2020,covid-policy-stringency-index,COVID-19 increased cases,COVID-19 increased deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
0,2020-01-01,47429,246640,115606,116645,13.3,28.72,0.0,0,0,0.0
1,2020-01-02,59265,253314,132797,116189,13.9975,32.065,0.0,0,0,0.0
2,2020-01-03,71263,183767,109478,116636,24.625,16.505,0.0,0,0,0.0
3,2020-01-04,71545,173147,104930,117117,19.515,11.755,0.0,0,0,0.0
4,2020-01-05,60369,254708,137009,115969,14.955,22.0675,0.0,0,0,0.0
5,2020-01-06,139105,246614,196526,116402,23.867500000000003,23.735,0.0,0,0,0.0
6,2020-01-07,187618,278995,213963,115969,22.92,23.8625,0.0,0,0,0.0
7,2020-01-08,207565,266183,207574,116053,10.31,22.32,0.0,0,0,0.0
8,2020-01-09,155615,276166,182862,116420,11.52,22.645,0.0,0,0,0.0
9,2020-01-10,148202,273381,172777,116795,24.0775,15.805,0.0,0,0,0.0
10,2020-01-11,93541,254096,164071,117685,20.165,19.1375,0.0,0,0,0.0
11,2020-01-12,83052,158757,106936,115152,11.9875,14.74,0.0,0,0,0.0
12,2020-01-13,163087,266970,197892,114338,8.945,22.765,0.0,0,0,0.0
13,2020-01-14,98942,194538,125409,114022,11.8675,18.1025,0.0,0,0,0.0
14,2020-01-15,103719,200026,113199,113634,15.750000000000002,18.5475,0.0,0,0,0.0
15,2020-01-16,139728,279454,199114,113466,17.197499999999998,26.01,0.0,0,0,0.0
16,2020-01-17,117650,282624,200399,114272,16.09,24.2925,0.0,0,0,0.0
17,2020-01-18,92345,275275,156984,115501,28.2275,15.7725,0.0,0,0,0.0
18,2020-01-19,97480,287340,174394,116802,33.6375,22.525,0.0,0,0,0.0
19,2020-01-20,283455,320308,277838,117684,33.5675,32.07,0.0,0,0,0.0
20,2020-01-21,270256,324647,294072,117368,38.5175,36.0375,0.0,0,0,0.0
21,2020-01-22,325460,356720,296054,117778,37.725,38.18,0.0,0,0,0.0
22,2020-01-23,351790,362271,309883,117425,30.6,34.005,0.0,0,0,0.0
23,2020-01-24,343690,352693,301104,117655,31.92,36.57,5.56,0,0,0.0
24,2020-01-25,228079,360330,236636,118205,31.2625,33.5875,5.56,0,0,0.0
25,2020-01-26,134030,289121,178525,118158,21.28,27.8825,5.56,0,0,0.0
26,2020-01-27,150509,267793,207186,117681,16.265,20.9225,5.56,0,0,0.0
27,2020-01-28,88012,186919,156347,116573,18.3425,12.965000000000002,5.56,1,0,0.00120454
28,2020-01-29,103089,167259,172645,116199,24.7075,12.9975,5.56,3,0,0.00481816
29,2020-01-30,91655,186249,140998,116729,24.29,14.3875,5.56,0,0,0.00481816
30,2020-01-31,71767,160535,113465,116391,30.095,12.019999999999998,5.56,1,0,0.0060227
31,2020-02-01,48782,97488,74602,117086,30.2425,10.215,5.56,2,0,0.00843178
32,2020-02-02,36300,148389,88543,115997,31.1175,12.415,5.56,1,0,0.00963632
33,2020-02-03,55964,198678,133412,115512,20.0225,12.9625,5.56,1,0,0.01084086
34,2020-02-04,69455,231953,147946,117089,24.6425,11.935,5.56,2,0,0.01324994
35,2020-02-05,158949,291810,231834,117164,29.47,18.6675,5.56,0,0,0.01324994
36,2020-02-06,227059,325204,258739,117404,30.7925,26.5625,5.56,0,0,0.01324994
37,2020-02-07,189937,317929,258191,117171,24.69,30.28,5.56,1,0,0.01445449
38,2020-02-08,60122,212392,158964,117108,18.2825,25.4875,5.56,1,0,0.01565903
39,2020-02-09,57516,105418,66810,116550,10.04,13.1725,5.56,0,0,0.01565903
40,2020-02-10,75998,114329,99195,115908,10.6875,7.227500000000001,5.56,0,0,0.01565903
41,2020-02-11,79776,117417,97890,116634,12.0375,8.057500000000001,5.56,0,0,0.01445449
42,2020-02-12,85041,142605,108765,115413,17.68,9.3625,11.11,2,0,0.01324994
43,2020-02-13,102273,218544,177295,116541,28.1825,18.0,11.11,0,0,0.01324994
44,2020-02-14,124701,263979,221776,116818,38.4425,25.2825,11.11,0,0,0.0120454
45,2020-02-15,45553,125032,96174,116909,41.8475,17.744999999999994,11.11,0,0,0.00963632
46,2020-02-16,38342,98804,65414,117249,34.5625,11.4025,11.11,0,0,0.00843178
47,2020-02-17,70439,146358,102097,116829,34.9725,10.052499999999998,11.11,0,0,0.00722724
48,2020-02-18,72937,129118,105385,116704,39.66,9.975,11.11,0,0,0.00481816
49,2020-02-19,63955,156413,151558,114140,24.35,11.990000000000002,11.11,0,0,0.00481816
50,2020-02-20,56714,158309,162087,116205,24.1525,16.25,11.11,0,0,0.00481816
51,2020-02-21,69659,108639,116010,116329,23.7925,12.065,11.11,0,0,0.00361362
52,2020-02-22,40642,95764,65895,116910,19.9375,9.645,11.11,0,0,0.00240908
53,2020-02-23,38639,91952,66641,116834,19.0875,8.05,11.11,0,0,0.00240908
54,2020-02-24,58691,151810,138192,116942,31.85,13.645,11.11,0,0,0.00240908
55,2020-02-25,78459,171837,122989,117252,37.735,10.4725,11.11,0,0,0.00240908
56,2020-02-26,79349,243818,196996,117247,41.7525,15.18,16.67,2,0,0.00240908
57,2020-02-27,138923,255526,242909,116847,40.04,18.255,16.67,4,0,0.00722724
58,2020-02-28,80227,227261,192319,115765,24.6525,15.915,19.44,26,0,0.03854529
59,2020-02-29,52751,98309,85823,116222,18.51,10.055,25.0,10,0,0.050590699999999995
60,2020-03-01,52058,119360,78725,115794,15.3875,10.3475,25.0,54,0,0.11563588
61,2020-03-02,160516,263069,197966,113434,9.7075,18.985,25.0,18,0,0.13731761
62,2020-03-03,218282,292530,243205,112441,9.7175,18.4,25.0,28,0,0.17104474
63,2020-03-04,236695,298937,250617,113497,12.28,22.72,25.0,39,0,0.21802182
64,2020-03-05,171930,295054,219178,115956,17.1075,20.4225,25.0,66,0,0.29752149
65,2020-03-06,100623,228428,204199,116797,12.3025,15.1275,25.0,138,0,0.46374807
66,2020-03-07,60585,221021,161311,116830,11.4775,14.652499999999998,25.0,284,0,0.80583756
67,2020-03-08,45391,137134,91967,116410,8.0075,14.895,25.0,163,0,1.00217765
68,2020-03-09,115018,227493,215393,116253,8.665000000000001,17.805,28.7,55,0,1.06842738
69,2020-03-10,98571,134589,133907,116238,11.357499999999998,12.302500000000002,32.87,237,2,1.35390346
70,2020-03-11,66761,139751,133653,115804,13.0475,10.25,32.87,157,0,1.54060723
71,2020-03-12,71121,113408,103010,115754,9.8,8.79,32.87,271,1,1.86221953
72,2020-03-13,78728,121569,121386,109201,11.3825,10.9375,32.87,802,2,2.79694292
73,2020-03-14,66373,156740,129189,110386,10.5925,17.42,32.87,693,0,3.61964405
74,2020-03-15,49721,118475,86440,115713,9.1025,11.9425,32.87,733,3,4.43752701
75,2020-03-16,142645,232701,173784,114867,8.755,25.0,42.13,1043,4,5.67218097
76,2020-03-17,141258,253888,179757,114314,12.5475,26.555,42.13,1174,1,7.05258432
77,2020-03-18,127871,243259,114654,113830,24.4825,21.2275,52.31,1144,0,8.38360152
78,2020-03-19,123538,298620,186180,114273,28.58,23.78,55.09,1042,0,9.55923299
79,2020-03-20,66164,294125,139174,114926,26.86,17.845000000000006,57.87,5940,30,16.54797667
80,2020-03-21,37939,107822,75535,112883,28.9825,7.7475,68.06,4049,2,21.08307146
81,2020-03-22,40575,105508,68486,115222,24.32,6.935,76.85,3276,22,24.83280587
82,2020-03-23,50665,148091,97565,114080,19.415,11.62,76.85,3311,27,28.75478957
83,2020-03-24,56237,212545,103867,114011,15.085,14.595,76.85,4438,32,33.81506399
84,2020-03-25,53597,240145,112783,113845,15.87,14.0,76.85,2342,23,36.44698487
85,2020-03-26,61117,215835,109006,113930,22.7575,13.16,76.85,4954,49,42.08784779
86,2020-03-27,50216,226249,102935,114652,24.33,15.404999999999998,76.85,5780,55,48.08405013
87,2020-03-28,31926,141968,85639,115434,22.5925,15.905,76.85,6294,72,54.83068118
88,2020-03-29,30615,112349,59597,110575,22.4975,9.845,76.85,3965,64,58.72375591
89,2020-03-30,51014,202346,150109,114752,16.5825,17.5575,76.85,4751,66,63.19019189
90,2020-03-31,62414,249113,171696,114402,14.755,18.005,76.85,4615,128,67.33501557
91,2020-04-01,48051,236278,155062,114723,17.32,20.8225,76.85,5453,149,72.52538036
92,2020-04-02,51572,202711,119603,114847,20.7675,18.1825,76.85,6156,140,78.68540021
93,2020-04-03,42113,195234,111933,115003,20.385,14.9225,76.85,6174,145,78.96726267
94,2020-04-04,31092,166652,119341,115405,22.6875,20.19,76.85,6082,141,81.4160934
95,2020-04-05,25041,97420,73937,114777,16.092499999999998,11.995,76.85,5936,184,84.620171
96,2020-04-06,26201,134617,98181,114882,13.772499999999996,18.1125,76.85,3677,92,85.06103279999999
97,2020-04-07,35557,207138,133389,113653,18.1525,19.835,76.85,3834,173,84.33349037
98,2020-04-08,38288,210005,142929,111633,15.2925,23.3225,76.85,4003,254,86.33423205
99,2020-04-09,41860,209415,146033,113936,14.5175,21.652500000000003,76.85,4974,246,86.35832286
100,2020-04-10,46850,119092,102040,113861,11.8175,17.3175,76.85,5323,266,85.80784788
101,2020-04-11,53956,110293,82498,113950,10.8525,18.1875,76.85,4133,171,83.20483597
102,2020-04-12,49791,102269,63708,113835,10.5825,20.805,76.85,2821,129,81.8268417
103,2020-04-13,35257,84203,52701,112790,9.525,8.3025,76.85,2537,126,79.15998915
104,2020-04-14,32178,109655,105791,112238,11.6575,11.9125,76.85,2082,170,76.10888819
105,2020-04-15,34475,112108,109604,111678,15.5475,15.6325,76.85,2486,285,72.53501668
106,2020-04-16,53265,137831,145785,110289,14.8125,20.8925,76.85,2866,315,68.57207861
107,2020-04-17,54758,147842,164612,110727,13.85,17.115,76.85,3380,299,65.2065926
108,2020-04-18,56439,114660,86017,110871,13.2975,15.245,76.85,3609,242,62.22776407
109,2020-04-19,55367,100900,60394,110603,13.6725,9.4675,76.85,2458,184,58.03837239
110,2020-04-20,46922,86981,68892,109742,13.3475,7.21,76.85,1775,110,55.74733646
111,2020-04-21,42617,82887,58590,110028,8.872499999999997,7.3900000000000015,76.85,1785,194,53.27923309
112,2020-04-22,42234,94395,65469,113269,9.77,9.0125,76.85,2237,281,51.15201465
113,2020-04-23,56402,122564,160136,113064,10.195,18.01,76.85,2352,215,47.9937096
114,2020-04-24,43120,125618,109701,112278,11.5225,16.150000000000002,76.85,2337,227,44.39695182
115,2020-04-25,36807,109887,87844,113916,15.235,11.085,76.85,2055,179,41.89391677
116,2020-04-26,45287,123185,105553,114668,10.5875,16.6175,76.85,1737,140,40.58819493
117,2020-04-27,46241,190910,173046,113366,11.825,22.2925,76.85,1018,110,38.75849799
118,2020-04-28,54549,227756,182931,110628,15.32,16.315,76.85,1144,163,37.62863905
119,2020-04-29,51628,216757,172184,111040,14.735,12.7275,76.85,1304,202,36.20487224
120,2020-04-30,44398,134691,105722,113629,18.4775,13.2725,76.85,1478,173,34.5329701
121,2020-05-01,39377,103674,64080,114125,13.9975,9.2175,76.85,1639,193,32.43586518
122,2020-05-02,40810,102892,60918,114042,11.64,9.4275,76.85,945,94,29.22696942
123,2020-05-03,41575,115126,77826,114143,11.325,13.0825,75.46,793,74,27.22140958
124,2020-05-04,42965,208071,161814,113548,13.66,13.8425,71.76,679,43,25.90123325
125,2020-05-05,43356,189697,157107,113996,13.735,11.9025,71.76,685,139,24.57623876
126,2020-05-06,42171,178953,150591,114145,16.925,15.0325,66.2,1037,165,23.13079022
127,2020-05-07,37962,186138,182607,114532,18.66,18.315,64.35,1194,123,21.73593238
128,2020-05-08,39196,202749,175295,114022,12.15,23.9275,64.35,1209,147,20.37721075
129,2020-05-09,55661,125883,145136,114108,15.3625,19.22,64.35,1251,103,19.40876023
130,2020-05-10,55977,106737,69288,114099,11.415,14.489999999999998,64.35,667,26,18.11990196
131,2020-05-11,53748,102364,86110,113770,10.045,7.925,64.35,357,22,17.32370072
132,2020-05-12,61363,141830,155641,113676,10.555,11.6375,64.35,933,116,17.06954269
133,2020-05-13,70642,205433,204242,114112,9.8875,16.7725,64.35,798,101,16.46004522
134,2020-05-14,63328,189699,189140,114097,10.7725,11.1225,64.35,933,89,15.80357067
135,2020-05-15,61745,155949,147579,113915,12.4275,15.3125,64.35,913,101,14.92907431
136,2020-05-16,55049,110658,89751,113984,13.065,13.805,61.57,620,57,14.53759866
137,2020-05-17,59189,96523,68097,113802,14.0325,12.1875,61.57,583,33,14.28464517
138,2020-05-18,72112,133736,124034,111925,18.1525,14.86,61.57,342,21,13.87871504
139,2020-05-19,58152,162569,173995,111736,12.575,14.8,59.72,513,72,13.67153408
140,2020-05-20,51392,213493,209183,111464,11.425,14.4625,59.72,797,83,13.38244437
141,2020-05-21,37183,111117,129789,113230,11.47,14.465,59.72,745,57,12.84160571
142,2020-05-22,40620,96860,116309,112693,16.807499999999994,14.285,59.72,460,27,11.93940492
143,2020-05-23,49535,87874,66779,113413,19.68,10.165,59.72,638,42,11.20102162
144,2020-05-24,52482,87468,46210,113660,14.0425,7.6975,59.72,431,31,10.91675008
145,2020-05-25,56273,127969,137245,113846,12.21,8.8275,59.72,289,10,10.83484133
146,2020-05-26,63900,197149,215994,113160,14.635000000000002,14.86,59.72,432,45,10.23136656
147,2020-05-27,52576,147390,197693,112744,12.395,15.585,59.72,362,47,9.70618693
148,2020-05-28,42689,126508,184618,112935,13.775,9.3575,59.72,353,62,9.00755347
149,2020-05-29,39964,133116,182138,113253,12.7,10.8825,59.72,741,39,8.80037251
150,2020-05-30,47828,84507,74393,112883,14.13,8.7775,59.72,738,39,8.94250828
151,2020-05-31,55341,79860,57912,112109,14.357499999999998,7.602500000000001,59.72,286,11,8.58475977
